,0,1
564752,-1,@Neo_Tha_One *hurt* u didn't say good morning to me 
584650,-1,t-minus 6 hours 
1084821,1,Alrighttty goin to bed. Gotta pack tomorrow. ughhh. 
540505,-1,Finally joined Twitter! Still trying to re-adjust to life away from Dublin. 
1063668,1,"@materialistic @flybitty i'll try and make it so everyone, even not on vox, can participate  vox friends only, tho.."
506427,-1,I can't go swimming for a week 
319683,-1,@YourSavvyVA Same. Have a full day of tasks and feel like my head is the size of a watermelon.  Not good!
206751,-1,My weekend is going to consist of WoW and 250+ pages of grad school readings 
696083,-1,BBQ's in the rain today 
912341,1,"'s plans didn't go as followed, but its ok "
1289432,1,An early tuesday. Finally getting my leaky rear left tire fixed. Tired of inflating it every week! Not to mention the safety &amp; gas saver 
101358,-1,Tight deadlines 
651653,-1,I need a Motion Plus.. what's the cheapest deal anyone has found as I'm broke at the moment 
32969,-1,Back in action after being MIA awhile. back at work too. 
1369838,1,In Orange County 
953516,1,"@JSpikEThinG coffee it is  i dont drink cola or Red Bull, that stuff is evil"
1507288,1,@Button84 I bet..but..you made it..once again! 
973665,1,About to fuckin sleep. Another week of HELL. I just wanna graduate already :/ Summer you are almost here 
1212340,1,"@lewie_au cool, well have an awesome week and maybe i'll see you around soon "
930091,1,"@adrienne_bailon http://twitpic.com/4yhp2 - salen bellas, me encanta tu cabello .. happy mothers day! "
330202,-1,FML -_- i burnt my lip cuz i put the blunt backwards to smoke ittttt.... lmaooo wtfff.? 
471916,-1,@TayUSA she should better learn that spent too much time here... i was late today because of traffic jam 
965949,1,Black Eyed Peas Numba 1  Shame Abt Tinchy Stryder Tho
256641,-1,going to fred meyer soon to get a new chain for my cross cause the first one broke 
1132256,1,@mollykdahlstrom congrats!  we should play some mixed doubles sometime!!
1252276,1,"Yes! The PSP-go is coming out. Now I know so I wont buy the former model, only to find another is in the making!!!    For once"
1367286,1,@sammyfbaby girlfran tomorrow night is gonna be bangin!! 
198513,-1,Freedom ends tonight at 9pm  lol
943601,1,learning how to screaming out loud 
858634,1,@Siouxsinner Didn't think u forgot. And yes you can make a group one  -- oh and #followfriday is neat -  http://is.gd/m7A0
466353,-1,Feeling sad because my friend will be leaving town. 
1187089,1,http://twitpic.com/6cpdn - My now clean room 
311571,-1,And today will be...Scorchio! Please don't let the bus heating be turned on. 
241078,-1,"@DawnRichard u guys r funny..dam I wish I was getn a pup 2, I really want 1 "
808160,1,Me gots the giggles. I'm in a funny mood this avvo. Everyone send @Jay_Tyler good luck messages. He sits his driving test today! Eek! 
633662,-1,@xorachel63xo  not on scribd 
672079,-1,"@jjongie It is.  I haven't had any first hand experience, but eh. I hear too many bad things ;~;"
746169,-1,I can't believe I missed the delivery of my computer!!! Now I can't play my sims 3 till tmrow.. UGH  not a good start to my day..
24726,-1,i still only have 63 followers..........   the number stopped going up???
298659,-1,"@keepmenear ive had a really really rough week, ive been working on a huge project and its really stressing me out "
818743,1,"It's 63 degrees outside and cloudy...I do love days like this, it's so relaxing.  The birds are singing and it just makes me happy! "
148887,-1,Woke up with a headache.  Hopefully it will go away after a nice shower...if not I'll have to kill it with some Excedrin.
450683,-1,D: i wanna do sumfin with someone 
716665,-1,in so much pain 
220149,-1,i want to see UP. too bad i have to devote my entire day tomorrow working on my english final. 
89257,-1,"@KakelynSunshine ok, i guess ill be by myself on monday  and what about @billbeckett?"
826551,1,@IAEA isnt the 24th in five days? and a million? wow! good luck 
1476665,1,@jordanknight The army have responded!!! We've killed it  Will go back again in 10 mins!!! LOL xxxx
1545050,1,@cameronmstewart YAY  another one: http://www.thoughtbubblefestival.com/08home.asp
110080,-1,Got my paper done... Hope I do good on it... i don't like accounting 
809946,1,@Vintage_Twit Thanks for the offer! 
1165640,1,"@happylovesChuck Oooh cool!  I also host the occasional Chuck-a-thon for Chuck newbies, we can do that too! "
899098,1,Posted a blog on Blogspot. You're cool if you read it. 
238593,-1,@SYDNEYx0 I know! And i'm still awake. lol 
374256,-1,@gwbell I disappoint. They don't accept iPhone coupons. I left the printed out version at home on accident. 
1198506,1,"Okay, now my Sunday evening is complete....Harry Potter and the Goblet of Fire on TV. Sweet! Word puzzles and a movie it is. "
404940,-1,didnt get cleared  having to wait till monday...oh well at least i passed all my classes!
440228,-1,Guildie asked me if I wanted to do U10 hard modes with another guild  not really keen on it.
628510,-1,is hurt... wishes I could be with him.. instead of her.. 
565076,-1,"Finished homework 5 minutes after they made the final boarding call, sprinted on to plane at last minute, didn't even get to eat McD's "
1019074,1,"http://bit.ly/uXyOv 10 blockbuster dvd movies, for 10 uk pounds or nok 100 kroner! Free delivery! This one's mine "
1446364,1,Enjoying my saturday night with nick and adam 
1289728,1,"@marano2288 I know, you spend all your time fiddling with the format. layout and settings. Then lose interest! "
862795,1,Just watched &quot;Wolverine&quot; tonight. Good movie! 
1335461,1,"I love the sound of You walking away, mascara bleeds into my eye... Rolooota de Franz Ferdinand hoy amaneci mamona "
923965,1,"@Ben_and_Louise I'm doing a lot of work in the back yard of our home. Putting in new plants, new walkways, new trees. New sore muscles! "
56485,-1,I hate that I still get that nervousexcitedhappybubblyanxious love feeling when I think about him. 
284491,-1,"So fucking bored... Where's @woahhjennier , @caliseisawesome , &amp; Peter when I really really need them? "
102355,-1,@Cianjaggers But will you have need to come over anymore with Gareth sitting with you? I'm gonna miss the swearing at himself 
769058,-1,@TheFray  so close and yet so far.    ...one day i'll get to see you guys.
404791,-1,"@faullguy Sadly, I don't have an awesome tv.  "
11198,-1,being hungover after being drunk ISN'T fun 
1350322,1,Is about to have a hot bath  and then get ready for work 
1436444,1,@SuziesArmoire Sounds like fun! 
1485748,1,"http://twitpic.com/6uq14 Hanging with my lil sis Lucy, her future looks bright "
782046,-1,NO YOU CAN'T 
521802,-1,my pics are ugly 
405607,-1,is lying with her bestie hannah (pancakes) after a crazy night including getting ice-cream all over my facce 
372186,-1,@Covergirl1985 i had boatloads of sharpies and i didn't go!!!! sad sad sad sad so very sad. 
1527936,1,@kyethn I eated a cheesecake 
1429194,1,2 more days till I'm 20 
899444,1,@ScottATaylor they are well thx for asking. I handfeed Mangosteen every day. 
432514,-1,"@springtree yes, we lose a lot of creating hours that way, don't we "
383659,-1,got a poorly wrist  fingers crossed 4 wed :S
534091,-1,oh headache... go away please.. 
287526,-1,@erin_bury Can't make it to your b-day parteh. My sister got me tickets to the TFC game that day and we're making a night of it. Sorry 
1495243,1,"It's a great excuse for not doing the dishes today, right?    OH!  Sis came screaming in and yelled for me to bring camera."
1111192,1,@AshyLBowz u tweeted yo self 
935157,1,"@evacelia : when I'm 0% wrong, I feel ecstatic, wanna shout out to the entire world: &quot;gw bilang juga apa!&quot; "
915813,1,@yongfook  ack ~ of course i'm a person! but i think @alaskamiller knows that 
1177070,1,@chiimomo I just learned the best thing ever that will be heaven for me and you! I'll dm you 
718240,-1,Can't sleep  my mum has diagnosed me with sun stroke. On the + side cady is being nice now seen as I'm covered in aftersun. (MC)
699844,-1,all my favorite shows are getting canceled 
181528,-1,@FireWithFire978 i want to try lush but i haven't used any of their products  check tpf!
1515846,1,"@TradingGoddess : For the first time? Geez, what to you so long...lol?  Do you remember which one you had?"
222254,-1,@CSI_News  thats bad! I need to go now hun! talk to u tomorrow!bye
87415,-1,cannot find a decent tutorial on soldering an iPod touch. Very dissapointing. 
548965,-1,@elliottp So sad I missed your Tweetup  Sounds like it went great!
1087210,1,nighty night people! britt had an EXCITING day might i say.  (haha i rhymed. )
210532,-1,why does everyone always have to end up leaving... 
990110,1,cant go wrong with a lil bob in the a.m.  ? http://blip.fm/~6itml
672808,-1,can't seem to reply on twitter. the little arrow won't show up next to the messages. 
1502957,1,just upgraded to #pulseaudio 0.9.15 and module-bluetooth-discover works great! no more choppy sound on alsa streams 
371251,-1,Are girls with careers even cool anymore? Why the heck am I working 70 hr weeks? 
254905,-1,"Yet another family Bbq, they arent fun anymore "
1071622,1,@AustinWilde @SethApper it's be a porn first 
948786,1,@Fabviid ehh he's not really my type... lol but he did a good job with his role in the movie 
27958,-1,Ahh twitter is....atwitter about Man U losing 
463687,-1,"apa ya salah gue? sampe di backstabber ky gini?  but in fact, i love u my backstabber and i feel so sad to hear this news"
1475999,1,@charlottec212 cool! i have a week full of exams  it sucks
413866,-1,oof. I very suddenly got a very bad cold today. 
1173442,1,Going to a family-diner to eat 'asparagus'. I'm hoping that my sister in law can prepare them as good as my mother does ;)   (y) (h) :p
1588259,1,@sixtus Sehr nice... Happy shooting! 
589471,-1,Didn't Tweet all day!! internet down more than10 hrs!! cable tv too!!! going crazy... Internet back up but not TV  I guess no AC360 2nite
1548742,1,@GADBaby I see you I see you #clothdiapers - what time is the chat again 
989832,1,"@fourzoas Duh, because you're not *HERE*. "
1539178,1,@mories23 haha I was going to say well only good thing was that u stayed there but not now 
973332,1,@devinleachrules Hiiii have fun at work in the morning. Call me and let me know how it goes! 
155197,-1,Please noooo...Dave Gahan has cancer scare 
1302858,1,Stories don't always have happy endings. This is her choice. Today she did receive lots of love!  http://post.ly/jTK
588783,-1,Glad Lee Kuan Yew doesnât want to see Lim Kit Siang  http://bit.ly/152vCc @walski69 @saiwanstar @DAPMalaysia@UMNOPUTRA
971977,1,You should 
736596,-1,Dangit!!! Missed princess protection program last night  ah welll itll probably come on today some time
363611,-1,"@sarabethbrooks oh, jon and I are spending that weekend In Tahoe! Sorry "
1499734,1,"What can I say? My students are just fun to be around! Their parents are pretty great, too.  "
146446,-1,@hbuchan that hurts  my tweeters were the best part about your phone
931764,1,@chad1m Thanks Chad - I appreciate it. 
348478,-1,Attempt to layer floral slip over jeans and T-shirt equaled epic fail.  
135102,-1,@JennyDew if it was up to me i would've settle for the crappier tickets just to make sure i was there but its not 
875553,1,watching britains got talent 
1500164,1,Wearing my boyfriends jersey shorts  love @binarypie
1266459,1,x fin usando el twitter! 
652453,-1,"@stylesteel Hi, My Daughter wanted to be one of those people riding a bike around the Bonaroo show!`  Of Course she couldn't go "
1323572,1,@tgosingtian Wrap a towel around the cap before twisting. Should save you from loosing all your fingers.... 
558819,-1,"@mattimago yes, but have u tried to add someone? The list does not include nearly all the tweeps I follow and no option to type a name "
224401,-1,the fact that people r actually living their lives instead of tweeting just reminds me how pathetic I am to be alone on a Saturday night 
1496542,1,@dderenia TOTALLY! it also helped that i got myself way tipsy.. so i cant be sure on the actually taste.  either way it was yum
1399203,1,closet's cleaned. Gave away 4 pair of shoes....good deed done for the day 
192723,-1,riding scooters and bmx and goin 2 skool 
1093177,1,welcome back #webmission 
197745,-1,@catrevel Yess 
304403,-1,@theDebbyRyan Hope you'll have a fantastic summer! My summer is about to end.  Hahah. Hope you reply!
27555,-1,@TemujinScott Don't know how  lol
1391592,1,"@twinquasar Hahaha, why builiding homes but not playing? Good luck to you too "
912864,1,@Hopesurvives rest well! 
1505819,1,@virtualgenius That it is rare in my work is evidenced by how different this feels from the usual. 
990482,1,off to bed now... and just made a youtube and twitter account for video blogs with my bestie lol goodnight brisbane 
1150607,1,I am just speechless...I don't know what to do or say...can you please take the reins now...thanks 
1142410,1,@TikkaMadsen Hula damage? Uh oh! Where you eating spicy food? Nyuck nyuck nyuck (3 Stooges laugh) hehe 
1006473,1,"&lt;3's Robert Pattinson. Omg, ahhh obsessed with skins!  Tonyy (Y)"
947173,1,"Using Amanda's computer, Yay  Just one more day and Dad will be gone."
1146502,1,@daysdifference  can't wait to hear it  
30903,-1,"SCIENCE DEADLINE TOMORROW! oh dear  Am going to have a hot bath, study like hell and pray for the best... :-S"
947894,1,"@mtnvet2pet here right now  Hah, what's wieerd :p"
734176,-1,no one is on plurk and twitter. 
1317541,1,@SundeepToor Happy birthday 
18582,-1,So drunk in a bath stlal  i cant move
436654,-1,Woke up and feel great! Sorta! I feel rested but my stomach is working for me. That means I'm going to have to ditch out of a grad party. 
277120,-1,"is out in the sun with my laptop , college 2morro tho  gonna be stuck indoors when its proper nice out "
82215,-1,"@RealAdamLambert I SAW YOU ALL OVER THE NEWS!! I wanted to meet you, but WE DIDN'T KNOW WHERE you were scheduled to be in San Diego. "
265347,-1,my throat hurts so much 
533355,-1,planning a birthday is fraustratingggg 
1228998,1,@alliballi27 Thank You 
558872,-1,"@freddurst Yeah, we have to stay patient for a while... "
1538054,1,@RJWalnuts lol idk yet....i'll find out tomorrow 
966949,1,"@sdministry Hey scott, Its Ashli from Shelby County, We met when Rick and Mick were in town. How you been? It been awhile "
772091,-1,gonna try sleep now. still to hot 
584646,-1,@cinemabizarre http://twitpic.com/7o6dl - August   Well I have patience ;)
1267941,1,Huka makes even the worst days seem ok 
593907,-1,I miss my bros @Iceburg2K8 Rigde @LadyCharlie (yeah u 2) Wali everyone is either booed up or away 
255043,-1,@Pink i heard your shows were fabulous ... so spewing i didn't get tix   come back SOON!!
1012386,1,http://twitpic.com/5only - walking the dog 
68741,-1,damn I wont even get to be able to get laid....    so sad    :/
779115,-1,When will my cough go away?! Aaaahhh!! &gt;:| 
1247879,1,thanks to all you guys who responded to my poll  that was very helpful
278139,-1,"glad her Norwegian &quot;host&quot; aunt, Gro, is in Heaven now, but very sad she died...unexpected loss.  VELDIG GLAD I DEG GRO..KLEMMER FORALLTID"
1455582,1,@ HCMC airport  ........Finally BKK 
81443,-1,@shamim86 come back 
541372,-1,She's no where to be found 
288668,-1,i think i might have failed a class for the first time in my life 
58227,-1,@irishpixie36 we have 35 kts of wind  With gusts 
413373,-1,"@notrightn0w I can't get any volume at all, but I think it's my computer "
784379,-1,i don't have my laptop yet. so thats y i have not been on lately  i miss it &lt;333 ]:
449441,-1,I want the hair in my twitter pic back again 
199491,-1,I' glad #pp09 is broadcasted online!  To bad it doesn't work on my laptop 
1574733,1,ugh..i think its FINALLY time to go to bed. night twitter! 
13654,-1,"Wishing there was something to do, everyone is busy "
1539586,1,great weekend + bachelorette = no monday blues 
1245578,1,@ShozzyShozzy thx :] i watched your myspace profile... it was cool 
1171681,1,busy editing. anxious for oracle's release in a few days. 
187385,-1,found ANOTHER tick on Levi! 
1524687,1,has got a new job again so probably wont update this till the next time 
1564702,1,@feeee Haha awh. Hey that parcel is so close to my house!it should be delivered this afternoon!I can't wait to see what it is 
111518,-1,Is feeling hungover without act drinking thats not fair  still in bed feeling very unwell! bad bad times!
438407,-1,Having trouble making my sim look like me   http://yfrog.com/79u8vj
723423,-1,Is listening in on my moms conversation with the police. Our car got stolen at the dealership while it was getting an oil change 
1391970,1,http://i44.tinypic.com/2mewzlx.jpg This made me smile.. Good way to start the day 
453103,-1,@idnapper heh ya. It was just a joke since we're literally a world apart 
917967,1,@OhaiGabriella i hate it. it should just be english all day everyday 
1289000,1,"@miriamsays I CAN'T T____T i have school! but you can! im so jealous of you right now...lol. anyway, GO! go enjoy yourself. "
1468802,1,sunny mornings make me happy! 
1084155,1,"About to go to sleep, lol, goodnight   "
640494,-1,I need the illest back rub. 
1430265,1,"Sacking out in front of a movie - Riding again in the AM, hopefully before the heat. Might have caught a bit of sun today... "
459299,-1,@ikle_pattikins ooh no  do they break up and get back together a lot?
1153315,1,@poohsuke I hope you have/had a good evening and sleep well over there in paradise 
1048664,1,@Zor_ take some pics pls 
1260409,1,Oh yess! Working out 
461267,-1,"Monday morning exams such, ruined my sleeping patten "
1394614,1,awake to sunshine...awesome  I have some gardening to do with the kids this morning  cause  playing in dirt is always fun!
682041,-1,@wilsonfkp ya...the world is now full of bad weather and my place here is full of haze 
522567,-1,I don't even want to say it- I sound like a broken record. I have a headache 
327956,-1,"@GiulianaRancic I love your new website. But I have to be honest, sweety, you need to spell check. Love you, but there are some mistakes "
306290,-1,"@kinagrannis it's a good thing they do the full episode things on the website, but we'll have to wait... "
161109,-1,dam it keeps rainin on me 
194823,-1,having oxymoron feelings... Ecstatic that torres signed til 2013 :-D but he got married last week  Damn lucky woman she is!
1240895,1,@blindmonk ÐÐ°Ð¼Ð¿Ñ Ñ? Ñ?Ð¾Ð±Ð¾Ð¹ Ð²Ð¾Ð·Ð¸ÑÑ? 
374632,-1,@androidtomato  Kick LJ in the 'nads for me? IT HATES ME. 
118071,-1,at New Fashion Hair Design in Cupertino. always run into ppl i know here. and they all use the same stylist as me. and always have appts. 
1205144,1,yo i finished &quot;Max&quot; finally. super cough cough SUPER ending and JP definitely left it open for another yes ANOTHER at least i think 
1144146,1,@x3hollywood Feel what way? If you wanna talk about it 
1043597,1,@Hedgewytch why not? relax and have fun with a day off 
511427,-1,"Ugh, I hate having to weed through followers.   I only have so many."
207309,-1,@xCatMx ooucha.. no luck. take some comfort from the fact i'm in the same shitty boat tho (besides playin footie this mornin)! 
929860,1,@ehasselbeck ---And you like Danny?  You just keep getting smarter and smarter.    I love him... and he's from my home town.
1223330,1,My First Tweet..... whhhoooo  Lovin the sunshine 
334595,-1,I never thought that not having a working Sidekick would be so depressing. It wasn't even my fault 
1471936,1,"@mariahbuzolin http://mattpproject.webs.com/index.htm Send something for Matt Prokop's Birthday Project, pretty please  tell everyone!"
212607,-1,@bunnielove I miss Heath   http://yfrog.com/584eoej
70514,-1,regretting not buying lollys when she went grocery shopping 
791937,-1,I hate it when ppl call me Mame... its make me feel old 
389264,-1,loves waking up to the sound of a dump truck backing up 
76972,-1,good mornin to everyone.... up early 
1031840,1,Goodnight twitterland! Fallin asleep next to my baby! 
1171325,1,"Hanging out with Beth, she's letting me try on her clothes! "
385392,-1,Head hurtin 
528113,-1,im sadd  my cat bit me and know im bleeding!!!  WAAAAAA
873937,1,@jojo71489: I KNOW! the day has finally come  cant wait to see you later!
750076,-1,@scoooooooooooty.     so sorry
160336,-1,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!! 
1593793,1,"@JonnyHanukkah Thank you, kind sir.  "
44655,-1,I want a free comic book...   
520036,-1,i flying home from bangkok today... sad 
1499561,1,"@gambit32 I'LL be doing that, and the rest of the house on Tuesday most likely   I'm very particular, which is why I like to do it."
117667,-1,my muscles have tensed up  Stupid gig and probably stupid sleep too.
1270514,1,@Niitaboo i can understand that.. But I'm glad most of my females think the same way I do... 
1539680,1,OMG law exam 2morrow :S I cant remember any of it!! So sick of exams. Anyway 11am 2morro my summer begins!  somethin 2 look forward 2!
1305786,1,@tommcfly i cant believe you still replied back to me about my video and rool on 16 days  cant wait to see you 
1237103,1,@landoncassill haha your secret's safe with me 
1557728,1,Home. I'm really tired now. At least I have a nice tan now. 
1428850,1,"@ZombieNicholas Manchester, like York was fucking brilliant. So glad I lost my Aiden virginity so to speak  Had such a great time - thanks"
66303,-1,loves her bookie! Be careful out there!   Next time you're in NC.. please come this way... 
987325,1,@michalabanas cookie monster is ment to eat cookies 24/7 !! is there preview shows of avenue q? because thats what it says on ticketek 
1285768,1,watching MTV Movie Awards 
843305,1,@justroxonmute lol hey there yeah i'm feeling slightly better thanks 
474123,-1,"@rhiannabananax sure thanngg babe, am so fucking boredd "
1321061,1,@The_No_Show I have a just-above-passing resemblence to him 
48642,-1,@deucenj I don't get a good morning 
1172469,1,@SouthernBets WAUW Such nice items there then lol have fun today writing and swimming hope to talk tonight to you hugzzzzzz  XX
918136,1,@Alicat13 Looks like both to me Alison. 
680226,-1,@BBabeNM I'm alive almost but live hahah xD i let U a gift in my fotolog  (hope you like it) i miss U too!! 
427619,-1,100 speakers :O i want to go 
439565,-1,@CrunchyK Aww wish I could be there but stuck in the UK   Do u know if the tour is coming over to the UK?  Please?
721372,-1,@captain_romana high  lol
459406,-1,It's school holiday but I didn't even get to see any of my siblings..oh well that's family..i guess 
126096,-1,"Round 2. Pasta. Lots more water. Can't go wrong? . . . Can I? I've already farked up one pot. Can't tweet, watching like a hawk! "
314353,-1,Why oh why do creativity strike when I really don't have the time to indulge in it! 
206412,-1,@HaylsHaylsHayls kiss n tell who was it  your so silly !
763986,-1,@KimKardashian your onn tv over here!!! I thinks its so old.. Dubai is never up to date  when do you vissit dubai?
1477143,1,@falseliesdeceit I AM SOOOO FREAKING EXCITED FOR TODAY AND THIS WEEK!!!!!!!!!  GONNA BE AMAZING!!!!
571423,-1,@nickjonas i so wish i could watch american tv..  i love you guys.. can't wait till manchester 22nd nov  gonna be amazing. loveyounickxx
515080,-1,Watching Team USA play Italy with 10 men was painful 
627550,-1,I broke a steing on my sitar.... 
340718,-1,"@Splodz @caldjr dont worry, there was no money in my account so it wasnt sent  I may go and have a little cry"
482042,-1,about to take Krys to the bus station. 
1545360,1,@ casa java. finally GOOD internet. Good food an added bonus  Has felt like a fish out of water that can finally breathe! time to surf!!
1128747,1,@SashaMcfly lol!  not really!
262533,-1,"had a great time in bandung, now misses home  but still it was a blast! thanks to all who stayed and made it my best vacation ever!"
1224288,1,Good Morning @BrandiLove @RhyseRichards @NikkiBenz @LichelleMarie  The most beautiful girls on twitter
1541792,1,@philipbloom  Ok thanks   and do you know a good website that is shipping in canada ? cause i cant find one ...
1300122,1,Just hanging out until work 
1309849,1,@ThinkHaphazard because I know alot of them won't. I'll regain them in time. I'm gon' decide in the next few days 
780166,-1,@epyon307 @vkidd152 @natemahoney8 are u guys rly having movie night without me? 
703916,-1,Lewis 19th  Sutil crashed aww  Jonas brothers New album is wickedddd  hehehe so good!!! Eatin ice-creamm D yummy
966127,1,"Went to Club FA (Freedom Acres) last night, it was fun &amp; different! My first swing club!! "
212141,-1,@TVreeland Aww Denver Nuggets.. you tried  Better luck next time. Darn Lakers.
329007,-1,@TheBrite1 havent had A day like dis in a min..seems like evrything n everyone is bothering me n nothings going my way 
363356,-1,I keep forgetting to Utterz.. we haven't really gone anywhere so there isn't really anything to report.. 
1469700,1,@JackAllTimeLow i watched that movie yesterday. 
191333,-1,"@DerDonYogi I don't think I'll make it. Lots to do, little boys to keep happy. Beware: St. Pauli youth is good. We lost 26-1 last year "
822845,1,just saw BORAT's twitter site......i laughed my head off.....hahaha 
1247100,1,@danielletx &amp; @krisphildius If you two need a 3rd roomie i am tired of houston.  
548807,-1,@cybellise I know EXACTLY how you feel! Hahaha *high five* So much work FTL 
1466604,1,"new phone ! finally.  trying to full in contacts , give me your number ! "
1147414,1,@hairylarryland just tweeted a link to your page on wrmusicreview.com 
747897,-1,Wish i was going to see tbs and anberlin tomorrow 
1184617,1,@sexydeadstar haha awww youre #waylilhomo 
1242537,1,@louisha awww excited to see you! and Girls Aloud on Wed 
1535270,1,"woo the bf s home... sun bed tonight, gonna get a tan.. gonna get pretty  lols"
27290,-1,"Plus I got exploited, like always. I'm a twat. "
814924,1,Rua da Lama yesterday great! I'll Be there again today! 
521927,-1,Why do u push me away? 
1485980,1,it's a lovely day in Detroit  makes me wish I had film.
1531111,1,"@SuperKaylo: Thats too bad man, we look forward to em  We'll be keeping an eye out next week."
550002,-1,@pinnnkx3 lmfao i didn't even notice that. jordy's about to get a talk. nigga dont love us no more 
578729,-1,Frack ...I definitely missed the fact that I can't buy Eagles tickets for this upcoming season..I'll never go to game 
67600,-1,New moon has somehow made me feel sad and alone. And for some reason i want to watch lord of the rings. I wish evan wasn't at work 
1251498,1,"@monikala nah it was actually a really good picutre, just a montage of senior class goofin around  made by mr jackson"
584997,-1,@shelzuluaga Shell is on twitter and no one told me  Hope your having fun while your away.
567187,-1,"@meetdux, see swapping my translated phrase, and I checked before I sent, didn't quite get what I originally wanted, but close "
897260,1,@MariahCarey You are very special to me and I'm sure all Lambs think like me. My admiration for you is eternal (Lamb forever &amp; ever &amp;ever 
1294284,1,"@scarlyed hail to thee, scarletta  may you soon have a profile picture and a prolific twitter feed. Who tweets @go2africawithus?"
980299,1,@TimWoo like everyhing ._. especially 	Viennese Schnitzel!! i loove cutlets  typical german food 
137845,-1,"train delays this morning, my journey took a while, a bit annoying as it has made Friday feel much much longer - boo "
202387,-1,Beautiful day. Girls are going to a b- day party.  I'm going to work.  
1511090,1,Hah good nite. Veryyy good nite! 
745751,-1,"@reii_ Better see a doctor in the morning when the clinics open. Just in case, there are those 24 hr clinics too. Take care leh! "
1019803,1,@xoxotatiana we will travel together somewhere soon 
1171130,1,"@GarethCliff hey gareth  im a huuuge fan of 5fm ur morning shows r hilarious!! especialli DAYS OF OUR MORNINGZ  i lovvve it,keep it up!!"
1169157,1, good morning beautiful peoplee.
1235349,1,@th3maw did i mention i'm excited?  that book rocked!
1128242,1,@Jonasbrothers I'm pretty curious to know what you guys have in store for us fans. 
351235,-1,@ReginDaniels these Kenneth Cole flats are death traps. I'm still hoping I'll &quot;break them in&quot;  should have returned when I had the chance.
498186,-1,"Hanging out with the very pregnant, due any minute  @polarbek, who never tweets. "
1005343,1,@Wolfie_Rankin Thanks for that. Wolfie's World in second life is also really interesting. That's an area I'm still discovering. Cheers 
496059,-1,@jenison_ I KNOW ISN&quot;T THAT AWESOME?!! 93 DAYS!!! I can't wait that long. 
179880,-1,@DanielFielding i tried listenin to music 4 half an hour! Tried readin a really boring book-still wide awake! 
1530427,1,Heading to work... hoping for a good productive day 
255343,-1,Man... My daughter is sick and I can't be there...  missin my lil fat butt
